objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
humhoward001,humhoward001.jpg,,Howard University First ClassGraduates (1872),image/jpeg,Photograph of the first 3 students to graduate from Howard University,Howard University,,1872,yes,photograph,Howard University; Students,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward001,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/429/
humhoward002,humhoward002.jpg,,"Gen. Oliver Otis Howard Wearing Decorations-Dress Blue, c. 1870",image/jpeg,Photograph of General Oliver Howard posing in his dress blues,Howard University,,1870,yes,photograph,Howard University; Oliver Howard,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward002,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/9/
humhoward003,humhoward003.jpg,,Howard University Football Team 1895,image/jpeg,Photograph of the Howard University Football Team of 1985,Howard University,,1895,yes,photograph,Howard University; Students; Football; Sports,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward003,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/294/
humhoward004,humhoward004.jpg,,Howard University Chemistry Lab Circa 1908,image/jpeg,Photograph of Howard University students working in a chemistry lab,Howard University,,1908,yes,photograph,Howard University; Students; Science,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward004,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/295/
humhoward005,humhoward005.jpg,,"Howard Players, Anne M. Cooke, Chairman of Department of Draman, '49, 1949",image/jpeg,Photograph of Drama Department Chairwoman Anne Cooke posing in a dramatic fashion,Howard University,,1949,yes,photograph,Howard University; Faculty; Drama,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward005,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/411/
humhoward006,humhoward006.jpg,,"Paul Robeson, Speaking Trustees Dinner, 1945, H.U. Bulletin October 1946",image/jpeg,Photograph of Paul Robseon during a speech at a Howard University trustees dinner,Howard University,,1946,yes,photograph,Howard University; Trustees,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward006,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/161/
humhoward007,humhoward007.jpg,,"Howard Players acting, c.1940-1950",image/jpeg,Photograph of Howard University students acting in a play,Howard University,,1940-1950,yes,photograph,Howard University; Students; Drama,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward007,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/377/
humhoward008,humhoward008.jpg,,"United States President, Harry S. Truman, speaking at the Howard University commencement, 1952",image/jpeg,Photograph of President Harry S. Truman speaking at Howard University's 1952 commencement ceremony,Howard University,,1952,yes,photograph,Howard University; Commencement; Speakers,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward008,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/485/
humhoward009,humhoward009.jpg,,"Mothers Day at Howard University in the Harriet Tubman Quadrangle courtyard, 1957",image/jpeg,Photograph of the visiting mothers of Howard University students posing in the courtyard of the all-girls dormitory,Howard University,,1957,yes,photograph,Howard University; Students; Family,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward009,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/457/
humhoward010,humhoward010.jpg,,Students at Howard University Main Campus 1940-1960,image/jpeg,"Photograph of seven unnamed Howard University student posing on ""The Yard"" on the upper campus of Howard University",Howard University,,1940-1960,yes,photograph,Howard University; Students,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward010,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/45/
humhoward011,humhoward011.jpg,,Students at Howard University Main Campus 1940-1960,image/jpeg,"Photograph of two howard university students posing on ""The Yard"" on the upper campus of Howard University",Howard University,,1940-1960,yes,photograph,Howard University; Students,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward011,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/44/
humhoward012,humhoward012.jpg,,"Martin Luther King and President James M. Nabrit, 1965",image/jpeg,"Photograph of Martin Luther King, Jr. and President James M Nabrit exchanging words at Howard University's 1965 commencement",Howard University,,1965,yes,photograph,Howard University; Commencement; Speakers,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward012,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/433/
humhoward013,humhoward013.jpg,,"AKA Sorors in high hats, 1975",image/jpeg,Photograph of five Alpha Kappa Alpha sorority members posing in matching outfits,Howard University,,1975,yes,photograph,Howard University; Students; Greek Life,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward013,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/480/
humhoward014,humhoward014.jpg,,"Howard University Hospital, August 1978",image/jpeg,Photograph of medical professional adminstering physical therapy to a patient at Howard University Hospital,Howard University,,1978,yes,photograph,Howard University; Howard Univesity Hospital; Healthcare,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward014,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/210/
humhoward015,humhoward015.jpg,,"Howard University Hospital, August 1978",image/jpeg,Photograph of a patient receiving an eye exam at Howard University Hospital,Howard University,,1978,yes,photograph,Howard University; Howard Univesity Hospital; Healthcare,"Washington, D.C.",38.923141,-77.021584,,Howard University,Howard University Digital Collections,,,humhoward015,Educational Use; CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,Image; StillImage,eng,https://dh.howard.edu/images/258/